[2026-06-24 10:10:42 ] 확인: pay_amount=234,550,358,680원, remain=5,249,641,320원, total_order_qty=6,801,947
[2026-06-24 10:11:12 ] 확인: pay_amount=234,556,660,340원, remain=5,243,339,660원, total_order_qty=6,802,162
[2026-06-24 10:11:42 ] 확인: pay_amount=234,564,399,750원, remain=5,235,600,250원, total_order_qty=6,802,425
[2026-06-24 10:12:13 ] 확인: pay_amount=234,571,653,610원, remain=5,228,346,390원, total_order_qty=6,802,637
[2026-06-24 10:12:43 ] 확인: pay_amount=234,580,684,840원, remain=5,219,315,160원, total_order_qty=6,802,927
[2026-06-24 10:13:13 ] 확인: pay_amount=234,587,878,800원, remain=5,212,121,200원, total_order_qty=6,803,156
[2026-06-24 10:13:43 ] 확인: pay_amount=234,597,507,390원, remain=5,202,492,610원, total_order_qty=6,803,427
[2026-06-24 10:14:14 ] 확인: pay_amount=234,605,278,760원, remain=5,194,721,240원, total_order_qty=6,803,684
[2026-06-24 10:14:44 ] 확인: pay_amount=234,611,913,360원, remain=5,188,086,640원, total_order_qty=6,803,879
[2026-06-24 10:15:14 ] 확인: pay_amount=234,618,945,190원, remain=5,181,054,810원, total_order_qty=6,804,102
[2026-06-24 10:15:44 ] 확인: pay_amount=234,627,055,800원, remain=5,172,944,200원, total_order_qty=6,804,355
[2026-06-24 10:16:15 ] 확인: pay_amount=234,636,792,730원, remain=5,163,207,270원, total_order_qty=6,804,625
[2026-06-24 10:16:45 ] 확인: pay_amount=234,645,518,550원, remain=5,154,481,450원, total_order_qty=6,804,883
[2026-06-24 10:17:15 ] 확인: pay_amount=234,652,106,380원, remain=5,147,893,620원, total_order_qty=6,805,068
[2026-06-24 10:17:45 ] 확인: pay_amount=234,659,613,830원, remain=5,140,386,170원, total_order_qty=6,805,307
[2026-06-24 10:18:15 ] 확인: pay_amount=234,668,279,640원, remain=5,131,720,360원, total_order_qty=6,805,571
[2026-06-24 10:18:45 ] 확인: pay_amount=234,676,470,790원, remain=5,123,529,210원, total_order_qty=6,805,811
[2026-06-24 10:19:15 ] 확인: pay_amount=234,684,981,340원, remain=5,115,018,660원, total_order_qty=6,806,101
[2026-06-24 10:19:45 ] 확인: pay_amount=234,694,635,540원, remain=5,105,364,460원, total_order_qty=6,806,370
[2026-06-24 10:20:16 ] 확인: pay_amount=234,700,631,110원, remain=5,099,368,890원, total_order_qty=6,806,555
[2026-06-24 10:20:46 ] 확인: pay_amount=234,708,911,670원, remain=5,091,088,330원, total_order_qty=6,806,816
[2026-06-24 10:21:16 ] 확인: pay_amount=234,716,599,520원, remain=5,083,400,480원, total_order_qty=6,807,039
[2026-06-24 10:21:47 ] 확인: pay_amount=234,723,488,840원, remain=5,076,511,160원, total_order_qty=6,807,248
[2026-06-24 10:22:17 ] 확인: pay_amount=234,731,856,360원, remain=5,068,143,640원, total_order_qty=6,807,503
[2026-06-24 10:22:47 ] 확인: pay_amount=234,740,609,990원, remain=5,059,390,010원, total_order_qty=6,807,774
[2026-06-24 10:23:17 ] 확인: pay_amount=234,749,890,940원, remain=5,050,109,060원, total_order_qty=6,808,055
[2026-06-24 10:23:47 ] 확인: pay_amount=234,757,536,520원, remain=5,042,463,480원, total_order_qty=6,808,303
[2026-06-24 10:24:18 ] 확인: pay_amount=234,763,146,130원, remain=5,036,853,870원, total_order_qty=6,808,471
[2026-06-24 10:24:48 ] 확인: pay_amount=234,771,473,820원, remain=5,028,526,180원, total_order_qty=6,808,738
[2026-06-24 10:25:18 ] 확인: pay_amount=234,779,342,110원, remain=5,020,657,890원, total_order_qty=6,808,969
[2026-06-24 10:25:48 ] 확인: pay_amount=234,786,856,690원, remain=5,013,143,310원, total_order_qty=6,809,190
[2026-06-24 10:26:18 ] 확인: pay_amount=234,794,787,340원, remain=5,005,212,660원, total_order_qty=6,809,417
[2026-06-24 10:26:48 ] 확인: pay_amount=234,802,900,240원, remain=4,997,099,760원, total_order_qty=6,809,666
